Timestamp;NodeId;NodeType;EventType;Event;CompletionTime;Running_WT;Running_NT;Storage;MAX_Storage;RAM;MAX_RAM
1580828732;00071;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00072;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00073;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00074;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00075;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00076;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00077;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00078;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00079;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00080;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00081;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
